round_dir	species	reference	foliage	photo_width_over_height	still_width_over_height	photo_crown_base	still_crown_base	photo_occupied	still_occupied	photo_outline_deviation	still_outline_deviation	photo_centre_mean	still_centre_mean	still_sha256	pair_sha256
round9-fn51	silver-birch	S-BARE	hidden	0.7018	0.7021	0.1500	0.1454	0.4587	0.4713	0.1676	0.0652	91.3000	161.9000	67cb4f0f312436b2145b3a8a5ce26845beb2ab5b6a244b055252a156fae5ad86	ad5ff29d0d63f72cac70f8f9943de39cade42cf406d8b39f34cc1a9840da42e8
round9-fn51	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3214	0.1311	0.4380	92.4000	165.2000	daa14193dc5b585a98b5fed9d0c01d8c433f5892cb2a7820cb08e243b3845cd1	1319e7e29e3728460f2bcc815b2b543d6054ac7c1ffe1386c4a1b56984c8927d
round9-fn51	silver-birch	S-WHOLE	leaf-on	0.8461	0.9471	0.0800	0.1415	0.4426	0.4354	0.2189	0.1044	83.0000	93.8000	17f9a3943c361c35eae01fed76984b1615ae90fb06b8509f4c59b8f0e8160be4	06124dbfffa546ae7d794ad44ae1a259d7a1ca5977a1308d28af00a480e5b3ef
round9b-fn48	silver-birch	S-BARE	hidden	0.7018	0.6809	0.1500	0.2278	0.4587	0.4894	0.1676	0.1067	91.3000	75.4000	e9820e016261aac835bf2a4272db0632cb0dd864aaf78c51372a9078607fe70e	35d5d3aabbbe44475c0ea4997027a5eec800f3adca006756cfcaa9220ac366dd
round9b-fn48	silver-birch	S-BARK	hidden	1.0675	1.2125	1.0000	0.0000	0.4708	0.2995	0.1311		92.4000	176.2000	a726e01a981d1249dcf6e788a15375511aa50c9eef7346ef76d73389afbd586a	f95d916760424bb210f626ed7e546b78aa06186e9d55553dc280bea5d0e6f33d
round9b-fn48	silver-birch	S-WHOLE	leaf-on	0.8461	0.8503	0.0800	0.1997	0.4426	0.4479	0.2189	0.1147	83.0000	41.8000	ff9b3681dd2b5b576659bbff92e1461d25ad45b2a3e5487609c6dd1f32512839	e9225bc5e7406c9ab9e341f2c263adfb02f2f7aef8ba49535f6eaeca2868f495
round10-fn52	european-beech	B-BARE	hidden	0.7417	0.7280	0.2500	0.2896	0.2813	0.4890	0.2937	0.0941	99.9000	121.2000	b43875d00a7d193f72bbd580d99d6ba8f9625aa4f96785d52e496bf8ccb73a43	883043bdf450a7664985ae342e64b57cbdaf69b30ba1deb4f0ff0bfdefce4eb0
round10-fn52	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.7804	0.0454	0.0969		0.1582	129.7000	75.4000	228f50cffa545e802a3a5ead0b38cc826be3a19aec4c0277d34fc2673bf5f8f6	c2866c772d1b0b1857311df2192d1922338c4eaf86d9eaa42f78d888603c0b23
round10-fn52	european-beech	B-WHOLE	leaf-on	0.6965	0.7430	0.1200	0.0884	0.4566	0.6136	0.2274	0.0876	79.7000	65.6000	7b03c731a724b02a762eeb6f6977f0969b1c8a9b595081b96e3a02d5e46e3bc4	76166df0d35d864f192dd1f7cc97fa6e509df6bd6a854da3f25a229a22595d70
round10-fn52	silver-birch	S-BARE	hidden	0.7018	0.6957	0.1500	0.2220	0.4587	0.5182	0.1676	0.0924	91.3000	70.6000	45f05b7a828b5d79142dfaf2e5c2d3160ee0a68759c888acb80d6f98ce03ca8b	893eb7abc8bd64c10f873927be0075d22f695d977372e3b0d69f0bc99b5b90a3
round10-fn52	silver-birch	S-BARK	hidden	1.0675	1.1229	1.0000	0.0000	0.4708	0.3441	0.1311	0.7308	92.4000	153.1000	244bae46cc4fe4b5b41808b10c5ec0b4608702ac84aef320d7a55db33f400129	02f1af26dc36cd0e1cc3281ba6b0e6663020324b4dd2d5f2750519e7a11e620e
round10-fn52	silver-birch	S-WHOLE	leaf-on	0.8461	0.9386	0.0800	0.2069	0.4426	0.4193	0.2189	0.1291	83.0000	58.5000	ea1736244dda2e0737f8d7e654077892aae20193733bf8f008082bac3006941a	ef674abf2a12ed16b9ef3128ac2af084915a4ca72627c925089dbeac0f974659
round11-beech	european-beech	B-BARE	hidden	0.7417	0.7280	0.2500	0.2441	0.2813	0.4295	0.2937	0.0748	99.9000	123.7000	02c4a43fa9cba3b05e36d8c5ef51b1bb9a802660b2b175eafa6118a90d2f9be7	2650b0a37822d2cc104a826348a8d9763e7c518013d8de1130100262a90d0b4e
round11-beech	european-beech	B-BASE	hidden	0.6000	1.1377	1.0000	0.0000	0.0454	0.0050			129.7000	181.8000	4fd81627170c763725a3f1c80807b04f0776308836b3eb0c1f7ded19de2f3d49	95df3aae53b286a68eba70998e7228cec8ab1b2bb7d8c94ac82930bb3006d334
round11-beech	european-beech	B-WHOLE	leaf-on	0.6965	0.7430	0.1200	0.0930	0.4566	0.6480	0.2274	0.0734	79.7000	35.1000	0cf53feb07e494a529b025dc0a3a0aafd6a9b1e18ea40c20efa851646defa83f	6ca7539d7a20cb9ee6cb26acb691c0a751f81be2975bac0ca84fdeaae5195d55
